｜-00:18:54｜｜¥10,000｜UCX3Xp4VaCZ_vcQipyZFJjSw｜適当視聴者｜いつもアーカイブ拝見してます　マイクラ楽しみにしてます
｜00:05:10｜Member (1 year)｜¥200｜UCJh1JaJjC-agOeJz1xyfIlA｜ちょこ｜まいちゃんよく裏でマイクラしてるの知ってた:_大好き::_大好き:
｜00:05:17｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:05:41｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:06:06｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:06:31｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:06:55｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:09:52｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:11:14｜New member｜NT$30.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜小舞你今天穿什麼顔色小褲褲啊？....:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
｜00:13:12｜Member (2 months)｜¥200｜UC8QRqxwqTnA7EqNMhOa07Tw｜凱カイKingxLao｜今日はダラダラしててやることの進捗ダメだ～怒ってるぽいまいをみせてくれたらやる気出るかも（じ||ｗ0
｜00:17:33｜New member｜NT$30.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜小舞是穿什麼不賴甲和胖次是顏色的分享大家吧:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::purple_heart::black_heart::purple_heart::black_heart::purple_heart::brown_heart::purple_heart::black_heart:
｜00:20:35｜New member｜NT$30.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜小舞跟你開玩笑的哦:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::black_heart::purple_heart::brown_heart::yellow_heart::green_heart::orange_heart::growing_heart::blue_heart::beating_heart::red_heart::face_blowing_a_kiss::white_heart:
｜00:22:12｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
