｜00:05:53｜｜｜UCpM8wc6JDZ60I5rnB7xScGg｜パトリオット｜was gifted a membership by クライド
｜00:05:54｜｜｜UCxcu9d5m9j0s9jvhRs0pjGg｜ざーよい｜was gifted a membership by クライド
｜00:05:55｜｜｜UClvl1qG-_y9Vprawhvc5_QQ｜白飛離｜was gifted a membership by クライド
｜00:05:56｜｜｜UCfUaup7PrnwBNShuQe2IGAQ｜パパイヤ｜was gifted a membership by クライド
｜00:05:57｜｜｜UCJ5Q2auwnwFkq-XzPW4xSNg｜うさくら｜was gifted a membership by クライド
｜00:06:19｜｜｜UCPvGSAdXSQewVNjAWQPjX4Q｜午後の人｜was gifted a membership by 雨 ame
｜00:06:21｜｜｜UCK5emI34vCWgEM0zu5tVr_w｜tsukiみー｜was gifted a membership by 雨 ame
｜00:06:22｜｜｜UCpNGZF0E-VdR3UcUE5cy2qg｜ゆきひろ🥀｜was gifted a membership by 雨 ame
｜00:06:23｜｜｜UCFX66ULgcRY9iRB-V6HQYaA｜⚙️ジノネコ🤖｜was gifted a membership by 雨 ame
｜00:06:24｜｜｜UCTz1C6NL2oWV9nycOR8mPGw｜SIEI｜was gifted a membership by 雨 ame
｜01:30:57｜｜｜UCIuANFkGd_aCM848VVyMhVw｜くるぐる｜was gifted a membership by Jin Wang
｜01:30:58｜｜｜UCtwQInczvpXEQQOuDgxsR-Q｜周軒弘｜was gifted a membership by Jin Wang
｜01:30:59｜｜｜UCiC7a0wz-DxTfAqbFB-t9kA｜Mistol｜was gifted a membership by Jin Wang
｜01:31:00｜｜｜UCjpa5xhou44HPdIKLjCHrmg｜愛奧莉娜｜was gifted a membership by Jin Wang
｜01:31:01｜｜｜UCeJ-7iU3enyT3rQEYK9ADLg｜劉貞岳｜was gifted a membership by Jin Wang
