1:52:57	ARS 50.00	UC__HNc2Q9t6fH5cXnqrH-lw	💗🥄ケンジ 【一般紳士A】	迷宮の上で大きな幽霊やカボチャの立ち絵を作ったほうがいいかも:ghost:？
1:34:39	ARS 1,000.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	新年明けましておめでとう 今年はりんちゃんの目標が達成出来るようにこれからも応援するね 今年も来年もこの先もずっとりんちゃん大好き愛してる!今年もよろしく!
1:49:05	ARS 10.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	
1:49:38	ARS 10.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	
1:52:56	ARS 10.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	
3:21:30	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	とっても癒されて素敵な時間をありがとう！これからも一緒に頑張って行こうね!りんちゃん大好き!
3:29:59	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	甘々で幸せな時間だったよ、いっぱい癒されたありがと！りんちゃん大好き、愛してるよ！ちゅ～
3:01:20	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん１０ヶ月おめでとう！絵上手くなったね！これからもたくさんの幸せが訪れますように！りんちゃんずっと大好き愛してるよ！
2:54:50	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！バレンタインリベンジ配信楽しかった！超美麗３Ｄの手の動きだけでもかわいい！萌え萌えきゅん！りんちゃん大好き！一緒に頑張ろうね！
58:48	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん好き好き大好き、愛してるよ！
3:21:12	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん、今日も幸せな時間ありがとう、いっぱい癒されたのでぐっすり眠れそう！この後は暖かくしてゆっくり休んでね！りんちゃん大好き愛してるよ！ちゅ～♡
2:41:53	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、デビュー11ヶ月おめでとう！飲み雑楽しかった！酔ってるりんちゃんかわいい！ゆっくり休んでね！りんちゃん大好き！大好き！大好き！
51:46	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、誤解されるの嫌だ！説明させてくれ 「わざとじゃないよね」って言葉はただの冗談だった！ニュアンス下手で勘違いさせちゃったかも！冗談だから信じないでね！ 俺のへこむ理由は、りんちゃんに嫌われたってこと！分かる？
55:13	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	今日は先に寝るね、おやすみ！ちゃんとアーカイブで見るね！
2:16:20	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！癒してくれてありがとう！りんちゃん大好き愛してるよ！
2:44:34	ARS 100.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！雑談たくさん聞けて楽しかった！りんちゃん大好き愛してるよ！
28:32	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	トイレットペーパー助かる
13:32	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	:camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash:
13:03	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、頑張って
52:03	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、俺は晩御飯食べに行ってくる、また後で
1:39:24	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、ただいま~
42:24	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん好き好き大好き
47:57	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん好き好き大好き
2:43:23	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	ばりかわいい□
38:48	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	くしゃみ助かる、かわいい
13:51	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	乾杯
1:41:31	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん大好きだよ
1:45:38	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	俺の腕の中でねむるかい？
1:48:22	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	いってらっしゃい
1:50:17	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おかえり
1:58:59	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんのナイスバディ大好き
2:26:28	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	どんな匂いがするりんちゃんも大好き
1:54	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	:_はろりん::_はろりん::_はろりん:こんばんは
1:44:14	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	早くトイレ行きな、凛々茶が飲みたいから
1:53:50	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	凛々茶で乾杯
2:16:56	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	リンチャンヲアイニダヨ
2:29:35	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんの声癖になる大好きだよ
3:59:50	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんの声が元気ないようでちょっと心配、無理しないでね！
1:15:37	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	くしゃみ助かるかわいい
3:24:51	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	俺はりんちゃんだけが大好きなんだよ
25:57	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	イベント終わったら、あのゲームやり続けるの？
4:53	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	くまぽんず頑張れ！応援するよ！
40:22	ARS 20.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	くしゃみ助かる！かわいい
4:02:20	ARS 200.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん、リンちゃん大好き!ゆっくり休んでね
11:08	ARS 200.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、改めてデビューから８ヶ月おめでとう！りんちゃん大好き！これからもよろしくね!
3:34:17	ARS 200.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん復帰配信&歌枠&ver2.0お披露目お疲れ様！さらに動けるようになって、いろんな表情のりんちゃんが見れてめっちゃ可愛かった！歌もびっくりするぐらい上手くなった！もう大好きが限界突破してる！りんちゃん大好き！
3:21:56	ARS 200.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！久々のASMRでめちゃ癒されたよ！幸せな時間ありがとう!この後はゆっくり休んでね！りんちゃん大好き愛してるよ！
10:36	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	もちろん許すよ、りんちゃんが可愛いなら何でもOKだよ
3:34:17	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	今日も可愛いりんちゃんにたくさん癒やされたよ!ありがとう!りんちゃん大好き!:red_heart:
6:37	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんに久しぶりに会えるの嬉しい:red_heart:
6:00	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん5.5万人おめでとう!:party_popper:
20:16	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんデビュー9か月おめでとう!改めて明けましておめでとう！これからもずっと大好き愛してる!今年もよろしくね！
3:04:16	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん、ちゃんとご飯食べてゆっくり休んでね！りんちゃん大好き！
3:40:48	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	今日もいっぱい癒された!すごく幸せな時間だった！りんちゃん大好き愛してるうよ！
3:49:07	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	いつまでも待ってるよ!りんちゃん俺もいっぱい呼んで!大好き連呼お願い!
2:19:40	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	まったりとした時間で楽しく癒されたよ！暖かくしてゆっくり休んでね！りんちゃん大好き愛してるよ！一緒に寝ようね
